Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2
Time (s),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Position (m),Velocity (m/s),Acceleration (m/s²)
0.000,0.000,,,0.000,0.148,,
0.050,0.000,0.00,,0.050,0.148,0.00,
0.100,0.000,0.00,0.0,0.100,0.148,-0.01,0.0
0.150,0.000,0.00,0.0,0.150,0.148,1.48E-5,0.1
0.200,0.000,0.00,0.0,0.200,0.148,0.00,-0.1
0.250,0.000,0.00,0.0,0.250,0.147,-0.01,-0.1
0.300,0.000,0.00,0.0,0.300,0.147,-0.01,0.1
0.350,0.000,0.00,0.0,0.350,0.147,0.00,0.1
0.400,0.000,0.00,0.0,0.400,0.147,-1.47E-5,0.1
0.450,0.000,0.00,0.0,0.450,0.147,0.00,0.0
0.500,0.000,0.00,0.0,0.500,0.147,0.00,0.0
0.550,0.000,0.00,0.0,0.550,0.147,1.47E-5,0.0
0.600,0.000,0.00,0.0,0.600,0.147,0.00,0.0
0.650,0.000,0.00,0.0,0.650,0.147,0.00,0.0
0.700,0.000,0.00,0.0,0.700,0.147,-0.01,0.0
0.750,0.000,0.00,0.0,0.750,0.146,-0.01,-4.4E-4
0.800,0.000,0.00,0.0,0.800,0.146,-0.01,0.1
0.850,0.000,0.00,0.0,0.850,0.146,-4.38E-5,0.1
0.900,0.000,0.00,0.0,0.900,0.146,0.01,5.8E-4
0.950,0.000,0.00,0.0,0.950,0.146,1.46E-5,-0.1
1.000,0.000,0.00,0.0,1.000,0.146,0.00,0.0
1.050,0.000,0.00,0.0,1.050,0.146,0.00,0.0
1.100,0.000,0.00,0.0,1.100,0.146,1.46E-5,0.0
1.150,0.000,0.00,0.0,1.150,0.146,0.00,0.1
1.200,0.000,0.00,0.0,1.200,0.146,0.01,0.2
1.250,0.000,0.00,0.0,1.250,0.147,0.02,-0.1
1.300,0.000,0.00,0.0,1.300,0.147,4.42E-5,-0.2
1.350,0.000,0.00,0.0,1.350,0.147,0.00,-0.5
